sample_id	cluster_id	size	mean	std
RA000_L7c	0	599	0.99447695	0.006955443
RA000_L7c	1	14	0.207780116	0.04957185
RA000_L7c	2	1	0.401733084	0.212596012
RA000_L7c	3	1	0.445700107	0.195665158
RA000_L7c	4	1	0.432000119	0.205289301
RA000_L7c	5	1	0.508244938	0.193109
RA000_L7c	6	1	0.360479978	0.189174512
RA000_L7c	7	1	0.420002458	0.225060092
RA000_L7c	8	1	0.486384307	0.184179874
RA000_L7c	9	1	0.430500366	0.213409842
RA000_L7c	10	1	0.367269632	0.16544026
RA000_L7c	11	1	0.438687859	0.22703109
RA000_L7c	12	1	0.433110849	0.214480416
RA000_L7c	13	1	0.305779849	0.183047838
