sample_id	cluster_id	size	mean	std
RA000_L8d	0	589	0.994902972	0.007045801
RA000_L8d	1	1	0.404429887	0.213944401
RA000_L8d	2	1	0.467715726	0.222753869
RA000_L8d	3	4	0.15261266	0.056745145
RA000_L8d	4	1	0.314572946	0.227309847
RA000_L8d	5	1	0.4038255	0.220546493
RA000_L8d	6	1	0.341289573	0.190034782
RA000_L8d	7	1	0.292569511	0.216925825
RA000_L8d	8	1	0.430988427	0.2363678
RA000_L8d	9	1	0.442655935	0.184109175
RA000_L8d	10	1	0.249158485	0.167100539
RA000_L8d	11	1	0.328399649	0.171445304
RA000_L8d	12	1	0.285325888	0.164069249
RA000_L8d	13	1	0.440112224	0.151320526
RA000_L8d	14	1	0.363244576	0.215200221
RA000_L8d	15	1	0.378665089	0.189586439
RA000_L8d	16	1	0.407500097	0.215046325
RA000_L8d	17	1	0.407951297	0.210663312
