sample_id	cluster_id	size	mean	std
RA000_Li3a	0	610	0.998460816	0.004038162
RA000_Li3a	1	1	0.398726016	0.210424723
RA000_Li3a	2	1	0.356764483	0.20727668
RA000_Li3a	3	1	0.309711424	0.174939028
RA000_Li3a	4	1	0.293889218	0.197676894
RA000_Li3a	5	1	0.381623211	0.243617625
RA000_Li3a	6	1	0.362772027	0.201130373
RA000_Li3a	7	1	0.208761604	0.134910495
RA000_Li3a	8	1	0.404242417	0.212019718
RA000_Li3a	9	1	0.397852987	0.207494033
RA000_Li3a	10	1	0.300345411	0.172470715
RA000_Li3a	11	1	0.300863856	0.176600225
RA000_Li3a	12	1	0.501338946	0.21536449
RA000_Li3a	13	1	0.411352467	0.22229291
RA000_Li3a	14	1	0.445088775	0.211195058
RA000_Li3a	15	2	0.400826532	0.187498614
RA000_Li3a	16	1	0.346749935	0.224672542
RA000_Li3a	17	1	0.378364968	0.222363835
RA000_Li3a	18	1	0.383047812	0.228470912
