sample_id	cluster_id	size	mean	std
RA003_L4a	0	210	0.197364866	0.008665271
RA003_L4a	3	74	0.991986284	0.010378036
RA003_L4a	1	8	0.790569289	0.298037259
RA003_L4a	20	8	0.408815327	0.173397862
RA003_L4a	13	3	0.738927431	0.243228925
RA003_L4a	9	2	0.622201497	0.327423477
RA003_L4a	25	2	0.684442421	0.299642758
RA003_L4a	55	2	0.58794709	0.308449147
RA003_L4a	64	2	0.702268116	0.257691468
RA003_L4a	129	2	0.665270148	0.280014889
RA003_L4a	2	1	0.590015585	0.240353075
RA003_L4a	4	1	0.640348974	0.211429625
RA003_L4a	5	1	0.501265681	0.265164552
RA003_L4a	6	1	0.589498256	0.280340064
RA003_L4a	7	1	0.625347631	0.258779969
RA003_L4a	8	1	0.569338219	0.273478263
RA003_L4a	10	1	0.615274285	0.266739865
RA003_L4a	11	1	0.473313891	0.296902877
RA003_L4a	12	1	0.537641406	0.330094495
RA003_L4a	14	1	0.570279094	0.242325858
RA003_L4a	15	1	0.608476285	0.252939691
RA003_L4a	16	1	0.614364569	0.278500461
RA003_L4a	17	1	0.461144609	0.281789483
RA003_L4a	18	1	0.523947775	0.277906708
RA003_L4a	19	1	0.503389818	0.305779447
RA003_L4a	21	1	0.556229358	0.22110693
RA003_L4a	22	1	0.460850185	0.315895118
RA003_L4a	23	1	0.560332592	0.314962639
RA003_L4a	24	1	0.558045364	0.294148209
RA003_L4a	26	1	0.549030536	0.277050631
RA003_L4a	27	1	0.582387721	0.276624221
RA003_L4a	28	1	0.493491698	0.312507274
RA003_L4a	29	1	0.572599097	0.238099871
RA003_L4a	30	1	0.56533769	0.206940786
RA003_L4a	31	1	0.544451509	0.265116601
RA003_L4a	32	1	0.604458497	0.294616808
RA003_L4a	33	1	0.622985682	0.222613817
RA003_L4a	34	1	0.62191763	0.237240666
RA003_L4a	35	1	0.604791739	0.208348544
RA003_L4a	36	1	0.602738252	0.21159698
RA003_L4a	37	1	0.582017749	0.270949842
RA003_L4a	38	1	0.507112652	0.32112185
RA003_L4a	39	1	0.564095075	0.252445797
RA003_L4a	40	1	0.545970275	0.281776153
RA003_L4a	41	1	0.539089814	0.309686824
RA003_L4a	42	1	0.438160271	0.28556319
RA003_L4a	43	1	0.560596622	0.29576464
RA003_L4a	44	1	0.475757941	0.297848159
RA003_L4a	45	1	0.513244222	0.314938155
RA003_L4a	46	1	0.534932397	0.28279716
RA003_L4a	47	1	0.595577479	0.26019644
RA003_L4a	48	1	0.597451776	0.260517738
RA003_L4a	49	1	0.613495461	0.287173198
RA003_L4a	50	1	0.660465583	0.244964766
RA003_L4a	51	1	0.456604933	0.294204117
RA003_L4a	52	1	0.560767371	0.285738489
RA003_L4a	53	1	0.585264914	0.250713468
