sample_id	cluster_id	size	mean	std
RA003_L4a	54	1	0.604981612	0.263926098
RA003_L4a	56	1	0.563627291	0.286178559
RA003_L4a	57	1	0.563893169	0.27195429
RA003_L4a	58	1	0.525701724	0.299694679
RA003_L4a	59	1	0.471350127	0.316258056
RA003_L4a	60	1	0.487575492	0.321580603
RA003_L4a	61	1	0.501827496	0.313948425
RA003_L4a	62	1	0.64981639	0.245554964
RA003_L4a	63	1	0.610432237	0.256734592
RA003_L4a	65	1	0.579839198	0.281402337
RA003_L4a	66	1	0.561044026	0.302994549
RA003_L4a	67	1	0.510147128	0.286623186
RA003_L4a	68	1	0.61264827	0.207918246
RA003_L4a	69	1	0.594891328	0.303230905
RA003_L4a	70	1	0.531737255	0.293697545
RA003_L4a	71	1	0.626732799	0.267297595
RA003_L4a	72	1	0.588753	0.253609504
RA003_L4a	73	1	0.621987967	0.208015493
RA003_L4a	74	1	0.528928829	0.32782213
RA003_L4a	75	1	0.560332592	0.314962639
RA003_L4a	76	1	0.549081964	0.281790574
RA003_L4a	77	1	0.613589771	0.271790799
RA003_L4a	78	1	0.588495935	0.300973
RA003_L4a	79	1	0.438116547	0.285928122
RA003_L4a	80	1	0.580724541	0.219705136
RA003_L4a	81	1	0.554020892	0.282913702
RA003_L4a	82	1	0.543593919	0.285150105
RA003_L4a	83	1	0.554857832	0.297040928
RA003_L4a	84	1	0.471350127	0.316258056
RA003_L4a	85	1	0.531954039	0.304019504
RA003_L4a	86	1	0.547485303	0.287007652
RA003_L4a	87	1	0.548677139	0.2467706
RA003_L4a	88	1	0.511504667	0.314749438
RA003_L4a	89	1	0.500660448	0.308065917
RA003_L4a	90	1	0.491595795	0.310547252
RA003_L4a	91	1	0.657139759	0.204990169
RA003_L4a	92	1	0.66197398	0.242057678
RA003_L4a	93	1	0.622985682	0.222613817
RA003_L4a	94	1	0.494532324	0.302327083
RA003_L4a	95	1	0.570203181	0.288078027
RA003_L4a	96	1	0.465053966	0.31985175
RA003_L4a	97	1	0.620585444	0.220993982
RA003_L4a	98	1	0.532761634	0.277609914
RA003_L4a	99	1	0.525900788	0.296727172
RA003_L4a	100	1	0.586725089	0.269605748
RA003_L4a	101	1	0.636426504	0.211691163
RA003_L4a	102	1	0.581668562	0.29188117
RA003_L4a	103	1	0.576927573	0.221776757
RA003_L4a	104	1	0.613031623	0.185455429
RA003_L4a	105	1	0.548279818	0.290564633
RA003_L4a	106	1	0.606144475	0.263106765
RA003_L4a	107	1	0.497793538	0.315374158
RA003_L4a	108	1	0.517389336	0.308084605
RA003_L4a	109	1	0.664342854	0.261789762
RA003_L4a	110	1	0.457101079	0.295244176
RA003_L4a	111	1	0.585019868	0.263973737
RA003_L4a	112	1	0.604233487	0.240246103
RA003_L4a	113	1	0.599744741	0.215339837
RA003_L4a	114	1	0.570806609	0.23977374
RA003_L4a	115	1	0.567089021	0.298556731
RA003_L4a	116	1	0.619236935	0.285501282
RA003_L4a	117	1	0.604389119	0.242361924
RA003_L4a	118	1	0.498083455	0.303640732
RA003_L4a	119	1	0.61583301	0.240860536
RA003_L4a	120	1	0.619100104	0.280797319
RA003_L4a	121	1	0.589948084	0.253824192
RA003_L4a	122	1	0.611861234	0.226448368
RA003_L4a	123	1	0.583601739	0.254599964
RA003_L4a	124	1	0.548677139	0.2467706
RA003_L4a	125	1	0.595539772	0.294860435
RA003_L4a	126	1	0.661493347	0.210780592
RA003_L4a	127	1	0.553476929	0.299473526
RA003_L4a	128	1	0.541158456	0.283924206
RA003_L4a	130	1	0.605635942	0.254995591
RA003_L4a	131	1	0.558756502	0.290716666
RA003_L4a	132	1	0.52732482	0.303205879
RA003_L4a	133	1	0.580089198	0.270256165
RA003_L4a	134	1	0.585612237	0.244987177
RA003_L4a	135	1	0.480418135	0.304173237
RA003_L4a	136	1	0.54262552	0.292177216
RA003_L4a	137	1	0.512481585	0.318117764
RA003_L4a	138	1	0.485280955	0.311692533
RA003_L4a	139	1	0.543369997	0.31203468
RA003_L4a	140	1	0.581712835	0.295290643
RA003_L4a	141	1	0.613489323	0.242255768
RA003_L4a	142	1	0.553237067	0.280908937
RA003_L4a	143	1	0.561267447	0.289221294
RA003_L4a	144	1	0.574247334	0.314446693
RA003_L4a	145	1	0.561079195	0.271779142
RA003_L4a	146	1	0.547866122	0.268133013
RA003_L4a	147	1	0.52371157	0.319086313
RA003_L4a	148	1	0.51894192	0.303502764
RA003_L4a	149	1	0.581188226	0.253888098
RA003_L4a	150	1	0.595463604	0.250566117
RA003_L4a	151	1	0.587231214	0.168741476
RA003_L4a	152	1	0.576076229	0.240590807
RA003_L4a	153	1	0.646592386	0.217113284
RA003_L4a	154	1	0.576537298	0.295855901
RA003_L4a	155	1	0.589901829	0.205756761
RA003_L4a	156	1	0.64564651	0.259510923
RA003_L4a	157	1	0.501265681	0.265164552
RA003_L4a	158	1	0.567460212	0.299198767
RA003_L4a	159	1	0.629042357	0.242137933
RA003_L4a	160	1	0.520508454	0.334842674
RA003_L4a	161	1	0.569491902	0.29028917
RA003_L4a	162	1	0.550677764	0.311203937
RA003_L4a	163	1	0.577877857	0.316506873
RA003_L4a	164	1	0.534542558	0.312487008
RA003_L4a	165	1	0.601536071	0.266774726
RA003_L4a	166	1	0.563030519	0.282274483
RA003_L4a	167	1	0.556138225	0.298836115
RA003_L4a	168	1	0.570579875	0.215051104
RA003_L4a	169	1	0.518018507	0.304147634
RA003_L4a	170	1	0.623774036	0.203734913
RA003_L4a	171	1	0.626086102	0.251040661
RA003_L4a	172	1	0.604536676	0.254022253
RA003_L4a	173	1	0.607983975	0.275877468
RA003_L4a	174	1	0.49749485	0.333401119
RA003_L4a	175	1	0.644280439	0.222359411
RA003_L4a	176	1	0.577168135	0.27633116
RA003_L4a	177	1	0.618801548	0.290385857
RA003_L4a	178	1	0.571951978	0.293837062
RA003_L4a	179	1	0.586006344	0.211649869
RA003_L4a	180	1	0.463483813	0.321837721
RA003_L4a	181	1	0.613990955	0.20949719
RA003_L4a	182	1	0.512765137	0.33129072
RA003_L4a	183	1	0.652220627	0.208387271
RA003_L4a	184	1	0.552574624	0.283091662
RA003_L4a	185	1	0.534624904	0.280334235
RA003_L4a	186	1	0.585844555	0.305358599
RA003_L4a	187	1	0.586831277	0.239890318
RA003_L4a	188	1	0.507674041	0.286049896
RA003_L4a	189	1	0.626417323	0.216637179
