sample_id	cluster_id	size	mean	std
RA004_L7a	0	180	0.99406943	0.007346139
RA004_L7a	1	1	0.240913447	0.187613977
RA004_L7a	2	1	0.329028752	0.24715543
RA004_L7a	3	1	0.293707447	0.120499497
RA004_L7a	4	1	0.530713429	0.244257272
RA004_L7a	5	2	0.726240142	0.062854662
RA004_L7a	6	1	0.583930724	0.124331298
RA004_L7a	7	1	0.447839758	0.15282468
RA004_L7a	8	1	0.518188629	0.235186343
RA004_L7a	9	1	0.414458682	0.084910258
RA004_L7a	10	1	0.260331299	0.155517549
RA004_L7a	11	1	0.306371701	0.143632403
RA004_L7a	12	1	0.540897403	0.254003155
RA004_L7a	13	1	0.625359849	0.118226917
RA004_L7a	14	1	0.496220551	0.199362437
RA004_L7a	15	1	0.235024637	0.091014342
RA004_L7a	16	1	0.221005863	0.099596816
RA004_L7a	17	4	0.11405478	0.026617998
RA004_L7a	18	1	0.483886668	0.168248786
RA004_L7a	19	1	0.400674691	0.155734542
